Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,,,,,,
ICE2,831.218041,0.139781563,0.084704159,0.090128457,0.176303453,,,,,,
ANXA2,55953.05536,-0.762311968,0.129688968,7.84E-10,9.60E-09,,,,,,
BNIP2,2479.697838,0.016714883,0.077641366,0.826462475,0.892167622,,,,,,
GTF2A2,880.7135329,0.040539045,0.074372428,0.587776164,0.717226866,,,,,,
FAM81A,1541.289656,-0.548328898,0.210396355,0.002586199,0.008696541,,,,,,
LOC119053505,0.3113488,0.02703733,0.374405172,0.632745588,NA,,,,,,
MYO1E,4175.625466,-0.132624564,0.067505652,0.04638229,0.102401667,,,,,,
CCNB2,402.0002349,-2.176993942,0.19244688,7.96E-31,1.01E-28,,,,,,
RNF111,1118.550651,0.02953566,0.068588145,0.656352491,0.771127018,,,,,,
SLTM,3040.623565,-0.207638571,0.070107509,0.003562534,0.011505514,,,,,,
MINDY2,1503.651645,-0.158064926,0.080125802,0.046191109,0.102060008,,,,,,
ADAM10,3658.140362,-0.242674229,0.081521231,0.002188838,0.007527488,,,,,,
LOC119053509,2.108871067,0.131302557,0.376873523,0.326564421,0.475656175,,,,,,
LIPC,0.283129556,0.022038464,0.373712862,0.826809198,NA,,,,,,
ALDH1A2,6967.974088,-0.569413068,0.159247759,9.46E-05,0.000462891,,,,,,
POLR2M,1995.329278,0.631798683,0.064450269,1.89E-23,1.23E-21,,,,,,
MYZAP,118.5831562,0.015723186,0.181642641,0.921252049,0.956177262,,,,,,
CGNL1,2934.494871,-0.043659755,0.13942338,0.733741099,0.828605796,,,,,,
TCF12,1856.038256,0.263682794,0.09369171,0.003398028,0.011035712,,,,,,
LOC119053517,0.517086861,0.055290475,0.374801592,0.428776309,NA,,,,,,
LOC119053508,0.196955331,-0.00317463,0.373742725,0.997963468,NA,,,,,,
LOC119053493,10.58702284,-0.588672238,0.508325288,0.034076931,0.079350771,,,,,,
ZNF280D,1248.008102,-0.022994668,0.081182532,0.772535445,0.855376158,,,,,,
MNS1,346.6794679,-0.677368607,0.112273913,3.61E-10,4.68E-09,,,,,,
TEX9,153.3325148,0.049002727,0.13652632,0.700104704,0.803822149,,,,,,
RFX7,1680.030909,-0.1154638,0.11562058,0.28466546,0.429823622,,,,,,
NEDD4,629.4410944,-0.081930293,0.097002559,0.384870396,0.535328332,,,,,,
PRTG,18.97479762,2.462891026,0.572850608,9.53E-07,6.98E-06,,,,,,
PYGO1,241.7972003,0.8325385,0.177645279,4.90E-07,3.79E-06,,,,,,
DNAAF4,183.9110588,0.325050811,0.121054503,0.004451914,0.013977712,,,,,,
PIERCE2,7.183658226,-0.245350181,0.362181863,0.224803953,0.359797625,,,,,,
CCPG1,3568.392724,-0.074760665,0.110890363,0.469522214,0.615794309,,,,,,
LOC119053511,0.537236006,0.076972863,0.382910746,0.183344637,NA,,,,,,
PIGB,308.3306514,-0.106188057,0.093758847,0.244205448,0.383080775,,,,,,
PIGBOS1,27.08146571,0.222084668,0.230030438,0.229216321,0.365156023,,,,,,
RAB27A,281.6598509,-0.060297163,0.121950976,0.601621544,0.72811934,,,,,,
RSL24D1,1755.380532,0.041889926,0.058408013,0.470797421,0.616843698,,,,,,
UNC13C,21.1960942,-0.720434253,0.55866336,0.018811902,0.048227555,,,,,,
WDR72,2.128554423,-0.196295471,0.439622185,0.035339193,0.081870428,,,,,,
ONECUT1,30.27503312,0.378656354,0.383053791,0.098139398,0.188798727,,,,,,
ATOSA,1111.641529,0.063356585,0.102344093,0.502091877,0.643354254,,,,,,
ARPP19,2879.828502,-0.214583804,0.068378516,0.001581135,0.005663515,,,,,,
LOC119047614,9.171646007,-0.149756343,0.321129836,0.425640269,0.574365736,,,,,,
LOC128628132,9.381573089,0.149394678,0.331221731,0.418983592,0.568084706,,,,,,
MYO5A,3815.920208,-0.059061831,0.080976701,0.531718241,0.669226088,,,,,,
MYO5C,132.5111225,-0.813500099,0.183832107,1.52E-06,1.07E-05,,,,,,
LOC119047602,1.038429967,-0.099330641,0.380172233,0.290318212,0.43632089,,,,,,
GNB5,1469.53848,0.138743598,0.088573833,0.105088154,0.199270374,,,,,,
BCL2L10,1.209258424,0.026847618,0.364093886,0.763712639,0.850617081,,,,,,
MAPK6,3966.431127,0.170682487,0.081730284,0.034051119,0.07932363,,,,,,
LEO1,1163.477916,-0.318538366,0.075516209,1.70E-05,9.71E-05,,,,,,
LOC119047596,14.83821175,-0.248422055,0.322720867,0.23036604,0.366400072,,,,,,
TMOD3,4131.364553,-0.316827652,0.105523455,0.001687308,0.005997809,,,,,,
TMOD2,338.3386522,-0.8085659,0.134585088,3.06E-10,4.01E-09,,,,,,
LYSMD2,33.22417673,0.372232921,0.309837396,0.088663557,0.174075495,,,,,,
SCG3,244.2814995,-1.153568884,0.151015882,2.17E-15,5.90E-14,,,,,,
LOC128628124,0.282407534,0.030325213,0.374786588,0.593784307,NA,,,,,,
DMXL2,1099.430373,0.15889685,0.137152386,0.221425739,0.355881697,,,,,,
LOC119047586,1.6375499,-0.06798872,0.366953583,0.502676709,0.64371109,,,,,,
TNFAIP8L3,1.52083876,0.066117915,0.365041511,0.552837528,0.687177435,,,,,,
AP4E1,1295.510146,0.351668329,0.099973471,0.000248659,0.001096286,,,,,,
LOC119057638,0.159139235,-0.00522015,0.373834909,0.902684723,NA,,,,,,
SPPL2A,2318.738737,0.166896896,0.07885558,0.029823243,0.070969523,,,,,,
TRPM7,2267.441669,0.521239235,0.099834949,5.46E-08,5.01E-07,,,,,,
USP50,19.63626597,-0.756967779,0.374984548,0.00592366,0.01792883,,,,,,
USP8,2868.894708,0.116764044,0.063846205,0.07681171,0.154627377,,,,,,
LOC119057642,5.556464725,-0.025463641,0.332568271,0.875630819,0.92371221,,,,,,
LOC128628133,730.9158357,0.00886221,0.118024032,0.973358889,0.987944503,,,,,,
GABPB1,485.4757781,0.157046506,0.106755076,0.128586941,0.233383663,,,,,,
HDC,0.265390158,-0.001688817,0.373790605,0.998259671,NA,,,,,,
SLC27A2,1.16961839,0.061498682,0.369010736,0.503135964,0.644004839,,,,,,
ATP8B4,1.091899893,-0.083909338,0.378564976,0.294215206,0.440680533,,,,,,
DTWD1,106.8934163,0.386578592,0.142305544,0.003146537,0.010322657,,,,,,
FAM227B,9.461613189,-0.219245986,0.362796801,0.254319938,0.395419238,,,,,,
FGF7,0.778273233,0.058523201,0.372241031,0.485175315,NA,,,,,,
GALK2,159.6409765,-0.138783221,0.135740235,0.27099252,0.414238817,,,,,,
COPS2,2729.298937,0.116196105,0.073737554,0.116365968,0.215588991,,,,,,
SECISBP2L,3061.582585,0.095180814,0.075363116,0.198225998,0.327680108,,,,,,
SHC4,210.6247428,-0.213536128,0.179908415,0.179389643,0.303374236,,,,,,
EID1,758.2917957,-0.061023369,0.084614789,0.458718979,0.606222531,,,,,,
CEP152,289.2883166,-0.397837563,0.128868103,0.000836678,0.003221381,,,,,,
FBN1,7231.634102,-0.776891053,0.102335531,4.22E-15,1.09E-13,,,,,,
DUT,862.3505318,-0.423859118,0.156919887,0.003045818,0.010033352,,,,,,
SLC12A1,497.2973766,-1.090547133,0.228863288,1.91E-07,1.59E-06,,,,,,
CTXN2,3.054260535,-0.238108025,0.445638404,0.110880708,0.207654268,,,,,,
MYEF2,2158.311854,-0.266354338,0.069257283,8.83E-05,0.000434918,,,,,,
SLC24A5,524.5555855,-0.373427108,0.080849862,2.12E-06,1.45E-05,,,,,,
SEMA6D,113.2233827,-0.224672148,0.267192616,0.256282482,0.397830688,,,,,,
LOC119057643,3.958740192,-0.546559907,0.721686266,0.03721179,0.085454944,,,,,,
SQOR,51.81328413,0.834394708,0.228643175,4.02E-05,0.000212345,,,,,,
BLOC1S6,1362.286561,0.366861846,0.061004621,9.85E-10,1.19E-08,,,,,,
SLC30A4,860.9260937,0.721618009,0.105320825,1.58E-12,2.91E-11,,,,,,
CUNH15orf48,2.248945254,0.512288059,1.165039607,0.002880123,0.009560599,,,,,,
SPATA5L1,149.2012704,0.570258645,0.163200057,0.000141738,0.000664976,,,,,,
GATM,89.77231997,-1.341706251,0.230767819,5.23E-10,6.59E-09,,,,,,
LOC128628121,1.507985234,0.236809965,0.469601793,0.040078152,0.090858225,,,,,,
SLC28A2,9.067488399,0.126142741,0.308344186,0.507507457,0.647824463,,,,,,
SHF,195.5010402,-0.531106237,0.150243241,0.000131413,0.00062052,,,,,,
DUOX1,2.465761336,0.172788686,0.424077663,0.037304534,0.085597765,,,,,,
MAMLD1,599.3236661,-0.249394207,0.130422258,0.040492802,0.091642588,,,,,,
MTM1,746.892046,0.035426007,0.087345713,0.676316964,0.78699212,,,,,,
MTMR1,2016.202733,-0.387699914,0.07997018,8.31E-07,6.17E-06,,,,,,
CD99L2,1035.603352,-0.260631389,0.062114941,1.68E-05,9.63E-05,,,,,,
HMGB3,847.8484087,-0.881976273,0.101679383,6.01E-19,2.45E-17,,,,,,
VMA21,339.5243672,-0.25989572,0.09444186,0.004342851,0.013668476,,,,,,
GABRQ,87.99741601,-0.006438474,0.18681333,0.967421559,0.984669498,,,,,,
CETN2,836.2012722,-0.041534281,0.085035245,0.578924823,0.709502542,,,,,,
LOC128628163,0.369107534,-0.016995594,0.372618849,0.563772649,NA,,,,,,
NSDHL,1173.720272,0.478883296,0.119303192,2.22E-05,0.000123836,,,,,,
LOC119040371,0.973015102,0.003193715,0.362501181,0.988205225,0.995421903,,,,,,
LOC119040355,1.561767174,0.142055921,0.394876708,0.196869788,0.325951062,,,,,,
ZNF185,204.6413372,0.209304223,0.189551577,0.196115794,0.324950447,,,,,,
COL8A1,1172.205636,-1.498446263,0.725851596,0.001571651,0.005636752,,,,,,
CMSS1,50.95983865,0.564946356,0.350310177,0.022444644,0.055849275,,,,,,
FILIP1L,11443.80997,-0.197725654,0.107502886,0.053959382,0.116248865,,,,,,
LOC119060647,0.162630136,0.00333399,0.373144041,0.998114512,NA,,,,,,
LOC119060656,4.099654704,5.137591298,1.908980764,1.86E-05,0.000105616,,,,,,
TBC1D23,2087.952181,0.18321129,0.066624434,0.005152308,0.015839484,,,,,,
NIT2,1027.933112,-0.048345378,0.077040905,0.543426937,0.679283671,,,,,,
TOMM70,1591.430255,-0.04072653,0.066310443,0.485181182,0.629021723,,,,,,
LNP1,124.1937758,0.07307659,0.152155505,0.599926435,0.72703939,,,,,,
TMEM45A,125.4229428,0.319725773,0.171730627,0.036057009,0.083315234,,,,,,
ADGRG7,3.605524228,0.148790799,0.370230208,0.344929462,0.494648034,,,,,,
LOC128628165,2.333436574,0.274874744,0.477260752,0.089008199,0.174629764,,,,,,
TFG,2775.591612,0.007003904,0.05141916,0.884525316,0.929943747,,,,,,
ABI3BP,1839.430899,-0.318227497,0.157039145,0.019653293,0.050086696,,,,,,
IMPG2,92.35993381,1.323547359,0.231183068,8.21E-10,1.00E-08,,,,,,
SENP7,1011.830821,0.319238346,0.101990003,0.00124622,0.00457401,,,,,,
LOC119039018,0.345282133,0.006856151,0.371448383,0.999749763,NA,,,,,,
LOC119038983,10.00382619,0.018891937,0.310449858,0.920378308,0.95562442,,,,,,
TRMT10C,326.5997371,-0.132287774,0.091883053,0.132826606,0.239932865,,,,,,
PCNP,3258.836144,0.227013198,0.066032742,0.000312881,0.001341374,,,,,,
ZBTB11,879.528929,0.224177306,0.104245614,0.024017279,0.05921538,,,,,,
RPL24,5738.46691,-0.025550622,0.077582205,0.742316534,0.834615807,,,,,,
RIOX2,1336.599164,-0.139122483,0.08945501,0.114380963,0.212763526,,,,,,
CRYBG3,669.1873395,0.126265097,0.10154276,0.191528679,0.318961472,,,,,,
RAB43,990.5828736,-0.141485447,0.066211992,0.024894032,0.061012144,,,,,,
ISY1,616.865107,-0.094685283,0.08284031,0.240501508,0.378861434,,,,,,
LOC128628169,358.5362852,-0.369913123,0.116793907,0.000806756,0.003124787,,,,,,
CNBP,4280.720243,-0.005305613,0.069730461,0.942308186,0.969831701,,,,,,
COPG1,4829.210607,-0.108362703,0.045794646,0.016767719,0.04367974,,,,,,
HMCES,433.0266495,-0.131942334,0.096656492,0.157113055,0.272978858,,,,,,
LOC119039038,244.7622796,-0.35138251,0.108789954,0.000723777,0.002832756,,,,,,
RAB7A,4290.34718,0.387900806,0.043568575,2.90E-19,1.22E-17,,,,,,
RPN1,3983.604351,0.241837322,0.045547937,6.91E-08,6.22E-07,,,,,,
LOC119039039,2.050018256,-0.017750373,0.353704875,0.876796653,0.924220715,,,,,,
GATA2,37.68947113,-0.684245956,0.304614026,0.00424718,0.013412566,,,,,,
EEFSEC,322.7030396,0.055769621,0.123259844,0.643352517,0.760284098,,,,,,
LOC119045031,0.197454763,-0.008370215,0.373946761,0.703624592,NA,,,,,,
RUVBL1,2296.456576,-0.306932186,0.056169338,2.87E-08,2.75E-07,,,,,,
LOC128628168,14.56865133,-0.135030879,0.300526123,0.47974271,0.62442702,,,,,,
SEC61A1,11069.65394,0.253483988,0.047746642,8.48E-08,7.51E-07,,,,,,
LOC119038338,1.195494866,0.049327674,0.359653059,0.677553279,0.788030134,,,,,,
MCM2,2735.85215,-0.923748299,0.132941887,5.03E-13,1.00E-11,,,,,,
TPRA1,116.2097743,-0.00980912,0.15177399,0.941441231,0.969518936,,,,,,
PLXNA1,2265.092686,-0.320698557,0.059268725,1.13E-07,9.77E-07,,,,,,
CHCHD6,0.14496729,-0.003846049,0.373847635,0.915768771,NA,,,,,,
TXNRD3,660.8897186,0.196231619,0.127368842,0.118637148,0.21876815,,,,,,
CHST13,0.44341375,0.00630097,0.371823915,0.995708336,NA,,,,,,
UROC1,0.176681134,-0.003859182,0.373844506,0.915767368,NA,,,,,,
ZXDC,839.2024393,0.329609364,0.109301351,0.001576012,0.005648724,,,,,,
CFAP100,6.199596173,-0.053954793,0.331292061,0.738991936,0.831990787,,,,,,
KLF15,113.0754971,1.134116759,0.173742253,7.15E-12,1.20E-10,,,,,,
IRS2,6279.537048,-0.323715059,0.157652228,0.023351789,0.057752474,,,,,,
LOC119042703,5.141821865,-0.329513525,0.524918769,0.064813176,0.134890366,,,,,,
LOC119042702,1.149768194,-0.071100467,0.376184025,0.326416165,0.475563853,,,,,,
MYO16,14.80366513,-0.679960695,0.450896811,0.017208796,0.044668776,,,,,,
TNFSF13B,25.90531515,0.293397013,0.431989574,0.136922558,0.245642284,,,,,,
ABHD13,645.404571,0.096151518,0.075012208,0.199794507,0.329754115,,,,,,
LIG4,355.986586,0.004225799,0.101250204,0.984449781,0.993790584,,,,,,
NALF1,0.547920592,-0.030568404,0.373946256,0.719642152,NA,,,,,,
LOC119047232,14.34721995,-0.170957084,0.341870785,0.351197923,0.501368808,,,,,,
ARGLU1,7149.331261,0.148605219,0.068526119,0.031001256,0.073295515,,,,,,
EFNB2,579.8785299,-0.459390242,0.141952026,0.000493433,0.00202012,,,,,,
LOC119038781,942.2117751,-0.074959282,0.101212653,0.434954114,0.583485764,,,,,,
SLC10A2,3.033556427,0.156740204,0.395426341,0.220260954,0.354552009,,,,,,
METTL21C,2.811075885,0.11772422,0.367264143,0.394873928,0.545156925,,,,,,
ERCC5,1663.553704,0.090282883,0.075272212,0.217857964,0.351636119,,,,,,
BIVM,1368.390147,0.193873702,0.06516677,0.00142498,0.005160257,,,,,,
POGLUT2,1580.567602,-0.107713274,0.077526824,0.188446135,0.314834169,,,,,,
TEX30,229.0511693,0.083964098,0.108099179,0.406667319,0.556525279,,,,,,
TPP2,1816.937486,-0.189852548,0.072572493,0.007063272,0.020784195,,,,,,
LOC119065857,30.34783012,0.02512941,0.232392536,0.889731967,0.934132432,,,,,,
ITGBL1,0.647999217,0.08411786,0.38030318,0.286489026,NA,,,,,,
LOC128628172,4.614226991,0.179707816,0.377185635,0.298371044,0.445120452,,,,,,
NALCN,1367.490947,-0.139286133,0.182715984,0.380580766,0.531359027,,,,,,
LOC119047169,0.746165391,0.022358409,0.368639351,0.779643987,NA,,,,,,
LOC128628176,0.873506623,-0.023606242,0.367833856,0.718852022,NA,,,,,,
LOC119054219,3.446091069,0.171525573,0.388395618,0.262012655,0.404224737,,,,,,
CEP295,953.593371,0.118105703,0.107020715,0.250759383,0.390772711,,,,,,
LOC119054223,2.109130422,-0.080376818,0.3654604,0.491574653,0.634795317,,,,,,
LOC119054222,2.118382968,0.304607605,0.52298016,0.056845989,0.121405296,,,,,,
TAF1D,3331.83295,1.244132512,0.086665887,1.03E-47,5.41E-45,,,,,,
LOC119054227,9.190993801,-0.055490526,0.305467282,0.756043481,0.845637828,,,,,,
LOC119054229,31.56103637,-0.609519536,0.296422349,0.008800994,0.025096642,,,,,,
LOC119054220,24.7579168,-0.220157634,0.259542328,0.261903337,0.404093171,,,,,,
LOC119054228,23.20025169,-0.207934803,0.255144803,0.289111766,0.434935455,,,,,,
LOC119054226,47.0204503,-0.16171169,0.195760865,0.332892412,0.482199177,,,,,,
LOC119054225,16.50587869,0.135985379,0.282482095,0.481901848,0.626752036,,,,,,
LOC119054221,93.33871849,-0.362756407,0.15488556,0.01077772,0.029955931,,,,,,
LOC119054224,111.0381939,-0.004502216,0.167072915,0.974504667,0.98836213,,,,,,
CUNH11orf54,178.3308489,0.375749533,0.12627579,0.001323554,0.004828329,,,,,,
LOC128628177,4.153413945,0.105211827,0.359200042,0.450079177,0.598420546,,,,,,
MED17,497.3076192,0.034424114,0.091153052,0.697215539,0.802034524,,,,,,
VSTM5,14.12359569,-0.9478648,0.403744318,0.001927452,0.006744476,,,,,,
CADM1,1164.593657,-0.007317972,0.110205388,0.987290965,0.994998481,,,,,,
REXO2,828.7263788,0.370670169,0.109651791,0.000407701,0.001702487,,,,,,
LOC119048098,1.010149534,0.02768349,0.362190208,0.788722425,0.865714918,,,,,,
RBM7,632.5789386,0.072998492,0.098333647,0.430739781,0.579490654,,,,,,
CUNH11orf71,102.3369268,-0.281709101,0.154894545,0.045372818,0.10051622,,,,,,
LOC119048099,0.359944845,0.018733975,0.372726937,0.810107851,NA,,,,,,
NNMT,0.938206556,0.02860076,0.36971134,0.62282793,0.743853464,,,,,,
LOC128628193,1.205107194,0.063426391,0.372323457,0.407745463,0.557252133,,,,,,
USP28,473.1745817,0.027537641,0.16077504,0.855750268,0.910568554,,,,,,
ZW10,758.9921698,0.055340085,0.087997218,0.518357508,0.657579784,,,,,,
DRD2,0.89745414,-0.074453718,0.380141962,0.351106588,NA,,,,,,
ANKK1,0.207664722,0.013224556,0.373513372,0.88893117,NA,,,,,,
TTC12,0.527927798,0.027670962,0.372141241,0.609652825,NA,,,,,,
NCAM1,3.684270345,-0.3042045,0.487089633,0.092038101,0.179339339,,,,,,
LOC119056540,5.540036575,0.440957037,0.474864403,0.073582213,0.149386111,,,,,,
LOC119056541,0.166971503,-0.001943534,0.373786354,0.99830748,NA,,,,,,
PLET1,0.806384789,-0.008768045,0.365345532,0.850499515,NA,,,,,,
PTS,1148.225943,-0.09166492,0.066314997,0.155846463,0.271198659,,,,,,
BCO2,107.3616332,0.113596651,0.144508065,0.401923424,0.552394142,,,,,,
TEX12,4.230148668,0.673176135,1.152948857,0.021261732,0.053472429,,,,,,
IL18,4.331764196,-0.230423614,0.423762903,0.15381477,0.268477709,,,,,,
SDHD,1377.407159,-0.128777591,0.064094348,0.04269212,0.095521701,,,,,,
TIMM8B,385.7364682,-0.069760073,0.091037721,0.429755867,0.578491041,,,,,,
NKAPD1,1432.231929,0.069565837,0.057036709,0.216048875,0.349680492,,,,,,
PIH1D2,321.284688,-0.155500993,0.088712742,0.06815136,0.140343545,,,,,,
DLAT,1913.775843,-0.092758231,0.066039997,0.152820487,0.267177576,,,,,,
DIXDC1,1316.151914,-1.183149473,0.128907318,5.67E-21,2.78E-19,,,,,,
CUNH11orf52,28.87629551,0.214551505,0.301740368,0.286725592,0.432312961,,,,,,
HSPB2,0.780398895,0.034128788,0.373248999,0.659766596,NA,,,,,,
CRYAB,49.73716682,0.129481625,0.250707074,0.493468807,0.636330979,,,,,,
CFAP68,8.28663914,0.660774609,0.701892018,0.028111008,0.067554831,,,,,,
FDXACB1,56.02688959,0.138004397,0.183070822,0.38779935,0.538041191,,,,,,
ALG9,169.5650178,0.134220131,0.154978218,0.362195729,0.513631607,,,,,,
PPP2R1B,2132.056132,-0.434605703,0.0727745,1.31E-09,1.55E-08,,,,,,
SIK2,1467.832879,0.10954026,0.088674647,0.20373421,0.334353688,,,,,,
LAYN,6.697013658,0.095710176,0.334572132,0.573607576,0.70479814,,,,,,
ARHGAP20,0.440286374,0.001072136,0.37131579,0.995094089,NA,,,,,,
FDX1,307.0221482,0.022844376,0.098255682,0.800380956,0.87430612,,,,,,
RDX,2804.219702,0.048786346,0.083413289,0.550692363,0.685434173,,,,,,
ZC3H12C,833.1996344,1.008273813,0.129020297,6.37E-16,1.87E-14,,,,,,
LOC119062819,2.859075715,0.229719055,0.447690698,0.101682716,0.194065046,,,,,,
CUNH11orf87,148.6177914,-1.109372043,0.282639293,7.72E-06,4.71E-05,,,,,,
DDX10,772.9826491,0.047732435,0.080422431,0.545980196,0.681866798,,,,,,
EXPH5,259.3899809,0.788086603,0.13877718,2.32E-09,2.64E-08,,,,,,
POGLUT3,3087.510533,-0.849832592,0.085135066,2.98E-24,2.11E-22,,,,,,
CUNH11orf65,22.33927904,-0.04567967,0.258824352,0.806898433,0.878638072,,,,,,
ATM,3104.759173,-0.175423574,0.11153798,0.098283389,0.188991196,,,,,,
LOC119059266,0.175928848,-0.002848944,0.373751359,0.998014387,NA,,,,,,
LOC119058839,1017.608343,-0.238821259,0.082250801,0.002730429,0.009123139,,,,,,
ACAT1,462.3192616,-0.187836727,0.098302933,0.049319298,0.107683776,,,,,,
CUL5,953.6347945,0.165098549,0.100685663,0.088249783,0.173384624,,,,,,
RAB39A,12.57437987,0.136830076,0.339875025,0.432133765,0.580901126,,,,,,
SLC35F2,501.5516634,0.471760584,0.117643874,2.78E-05,0.000152475,,,,,,
ELMOD1,21.30653971,0.867638749,0.365637695,0.002035164,0.007083043,,,,,,
ALKBH8,180.5840871,0.580758549,0.150437074,3.46E-05,0.000185209,,,,,,
CWF19L2,370.5555556,0.035429832,0.08367481,0.666361342,0.779074255,,,,,,
GUCY1A2,642.4426183,0.434298142,0.229544477,0.021453873,0.053867005,,,,,,
AASDHPPT,1882.051937,-0.155350474,0.070002065,0.023177218,0.057396735,,,,,,
KBTBD3,665.0548479,-0.289099253,0.086046215,0.000526995,0.002140321,,,,,,
MSANTD4,441.116133,-0.298267354,0.108624106,0.004241795,0.013398078,,,,,,
GRIA4,0.285275242,-0.011625967,0.373966687,0.688450928,NA,,,,,,
LOC119060734,0.346115128,0.020013518,0.372826478,0.789293637,NA,,,,,,
CARD16,26.87786913,0.165016396,0.3109875,0.396785973,0.546726093,,,,,,
CASP1,1.851188905,-0.042647921,0.370062927,0.61871945,0.740717605,,,,,,
LOC119060787,17.21166502,-0.073673812,0.321342441,0.689657905,0.797163541,,,,,,
LOC119060770,49.22782904,1.329730298,0.360697485,1.77E-05,0.000100933,,,,,,
LOC119060799,14.20301085,0.659050221,1.471553979,0.017688773,0.045752928,,,,,,
PDGFD,43.84349033,-1.738028632,0.31641077,2.93E-09,3.28E-08,,,,,,
DYNC2H1,1877.383806,0.150946874,0.133443068,0.222182439,0.356779982,,,,,,
HEPHL1,3.025610269,-0.530544935,0.842074789,0.028942479,0.069196853,,,,,,
PANX1,846.5637863,-0.061161734,0.087453295,0.47682237,0.621733171,,,,,,
LOC128628186,0.372976101,-0.020484986,0.374220565,0.602368036,NA,,,,,,
IZUMO1R,0.325077584,0.011214941,0.373568264,0.919076653,NA,,,,,,
GPR83,1.923798725,0.107316318,0.381598995,0.279836005,0.424393667,,,,,,
MRE11,1047.782155,-0.194048624,0.078389968,0.008389164,0.024073378,,,,,,
ANKRD49,445.2419185,-0.127911273,0.079830682,0.09975001,0.191306066,,,,,,
CUNH11orf97,8.830919353,-0.147053547,0.348342219,0.395916993,0.546014001,,,,,,
FUT4,228.0482043,-0.335773902,0.18267072,0.031470953,0.074238946,,,,,,
PIWIL4,19.88427893,0.036570321,0.266117149,0.846434088,0.90491333,,,,,,
AMOTL1,546.4141632,-0.526873531,0.10354538,1.20E-07,1.03E-06,,,,,,
CWC15,2083.445119,-0.162848118,0.081236872,0.039569049,0.089910206,,,,,,
KDM4D,14.76667934,-0.801561755,0.461350731,0.009369656,0.02651581,,,,,,
LOC119062477,0.944685117,-0.034416873,0.370778095,0.60147886,0.72811934,,,,,,
LOC119062450,7.826722535,0.520123147,0.576389893,0.046621371,0.10287546,,,,,,
ENDOD1,1986.065441,-0.574322769,0.238167116,0.003791283,0.012134703,,,,,,
LOC128628187,68.48620455,-0.607308644,0.295499009,0.007612783,0.022147956,,,,,,
LOC119062469,32.35322923,0.3579069,0.249593791,0.070728787,0.144711649,,,,,,
SESN3,1368.161839,-0.748683933,0.117517524,3.29E-11,5.01E-10,,,,,,
FAM76B,692.7668326,0.168981693,0.097270234,0.07159454,0.145950063,,,,,,
CEP57,1016.200354,0.485404154,0.102976237,9.63E-07,7.04E-06,,,,,,
MTMR2,3789.007293,-0.121452597,0.070519803,0.077098418,0.155082495,,,,,,
LOC128628189,1.02212269,0.079287385,0.375198346,0.396587638,0.546624974,,,,,,
MAML2,907.3362894,-0.284902969,0.115934237,0.009399818,0.026592215,,,,,,
LOC128628190,0.560163579,-0.049831651,0.376322325,0.459692272,NA,,,,,,
CCDC82,537.8327964,-0.058580543,0.09875818,0.532824421,0.670141286,,,,,,
JRKL,788.5012825,0.225073258,0.082325313,0.004481081,0.014056163,,,,,,
CNTN5,0.819546834,-0.090928771,0.385007449,0.19843615,NA,,,,,,
ARHGAP42,4259.521996,-0.152648671,0.085861456,0.073874669,0.14988934,,,,,,
ANGPTL5,7.368354971,0.632647019,0.64598479,0.030412158,0.072146257,,,,,,
CEP126,176.1929231,0.51407492,0.124650029,1.37E-05,8.00E-05,,,,,,
CFAP300,136.9236456,0.034255626,0.139560131,0.788451834,0.865700544,,,,,,
YAP1,5821.612798,-0.148950449,0.080781614,0.048274962,0.105893021,,,,,,
BIRC3,4651.977144,3.925067161,0.300405356,2.27E-40,6.36E-38,,,,,,
LOC119054067,5.412209561,0.329095816,0.523108192,0.07220463,0.146979877,,,,,,
BIRC2,3806.587553,0.231919956,0.097697414,0.013670951,0.036787046,,,,,,
TMEM123,4921.536771,-0.27181969,0.069028723,8.60E-05,0.000425224,,,,,,
MMP7,138.5906803,-0.637893286,0.241258,0.001741762,0.006173102,,,,,,
LOC119054047,7.926294721,-0.355830313,0.51335893,0.080684623,0.160967067,,,,,,
MMP20,64.13386673,-0.813216181,0.362056297,0.003019201,0.009963097,,,,,,
MMP27,43.43158752,-2.044950826,0.334397362,9.41E-11,1.33E-09,,,,,,
MMP8,2.078899604,-0.101656632,0.372798719,0.373200149,0.524183187,,,,,,
LOC119054059,16.66747476,-2.150730112,0.490176199,1.07E-06,7.75E-06,,,,,,
MMP1,240.6302409,-2.118785968,0.496117472,9.60E-07,7.02E-06,,,,,,
LOC119054055,1.48075847,-0.162415326,0.417237235,0.052959683,0.114457736,,,,,,
MMP12,3.449398288,-0.510732001,0.936540068,0.019415446,0.049555671,,,,,,
MMP13,37.67784636,-0.129992989,0.321635315,0.478406883,0.623155213,,,,,,
DCUN1D5,803.1031182,0.005903483,0.072264241,0.944390214,0.971583342,,,,,,
LOC128628178,0.240020492,0.01571775,0.373632507,0.885061979,NA,,,,,,
LOC119043000,2.848732452,0.08804268,0.357277737,0.519639439,0.658212566,,,,,,
EGLN3,3866.981763,0.484150319,0.111393335,5.32E-06,3.37E-05,,,,,,
NPAS3,13.89505223,1.647032312,0.507996359,7.75E-05,0.000386178,,,,,,
AKAP6,46.58988576,0.143640009,0.229651264,0.441226603,0.589869508,,,,,,
